FBgn	Symbol	FullName	Symbol_synonym(s)
FBgn0003979	Vm26Aa	Vitelline membrane 26Aa	CG9048|TU-2|VM26A.1|VM26Aa|Vm26A|Vm26A.1|Vm26A1|sV17
FBgn0003980	Vm26Ab	Vitelline membrane 26Ab	CG9046|DIM 29|Dm sV23|Sv23|TU-4|VM26A.2|VM26AB|Vm26A|fs(2)QJ42|sV23|sV26|sv23
FBgn0003983	Vm34Ca	Vitelline membrane 34Ca	CG9271|VM26A.1|VM34C|VM34C.1|VM34Ca|Vm34C|Vm34Cc
FBgn0003984	vn	vein	CG10491|CT29452|Dm vn|P1749|Vein|Vn|ddd|l(3)10567|l(3)10568|l(3)L6A|l(3)ddd|l(3)rF264|l(3)vn10567|vein|wvn
FBgn0003985	Vein-dominant	Vein dominant	Vn
FBgn0003987	vnl	venula	
FBgn0003988	Vno	Vein off	
FBgn0003989	vr	varnished	
FBgn0003990	vs	vesiculated	bw
FBgn0003991	vss	variable size and shape	vss-1
FBgn0003992	vst	vestar	
FBgn0003994	vtw	vertical wings	
FBgn0003996	w	white	BACN33B1.1|CG2759|DMWHITE|DmWhite|EG:BACN33B1.1|W|White|c23|e(g)|m(g)|mini-white|mw|w(AT)[[13]]|w(AT)[[13]]|white
FBgn0003997	hid	head involution defective	CG5123|HID|Hid|Hid1|W|hid|hid1|his|l(3)05014
FBgn0003999	wa	warty	
FBgn0004003	wbl	windbeutel	CG7225|Wbl|Wind|Windb|wbt|wind
FBgn0004004	wd	wavoid	
FBgn0004005	wdl	wavoid-like	
FBgn0004007	we	wee	
FBgn0004008	Washed-eye	Washed eye	We
FBgn0004010	wgo	wings out	
FBgn0004011	wgv	wing variance	
FBgn0004013	whh	white head	
FBgn0004014	wi	witty eye	
FBgn0004015	with	with trident	
FBgn0004016	wk	weak	
FBgn0004017	wl	whirly	
FBgn0004018	wo	white ocelli	
FBgn0004019	wobA	wobbly A	
FBgn0004020	wobB	wobbly B	
FBgn0004021	wp	warped	
FBgn0004022	Wr	Wrinkle	
FBgn0004023	wrl	whirligig	EcRms4|ms(3)nc4|nc4
FBgn0004024	ws	waisted	
FBgn0004025	wt	welt	
FBgn0004026	wtl	weltlike	
FBgn0004027	wtw	water wings	clf
FBgn0004029	ww	wider wing	
FBgn0004030	wx	waxy	wxt
FBgn0004032	wz	wizened	
FBgn0004033	xwh	extra wing hairs	
FBgn0004034	y	yellow	CG3757|EG:125H10.2|T6|Y|yellow
FBgn0004035	yea1	yeast 1	
FBgn0004036	yea2	yeast 2	
FBgn0004037	yea3	yeast 3	
FBgn0004038	yea4	yeast 4	
FBgn0004039	yea5	yeast 5	
FBgn0004040	yea6	yeast 6	
FBgn0004041	yea7	yeast 7	
FBgn0004045	Yp1	Yolk protein 1	CG2985|DmYP1|VG1|VIT1Dm|YP|YP-1|YP1|YPI|YP[[1]]|YP[[1]]|fs(1)1163|fs(1)A1163|yp|yp-1|yp1
FBgn0004047	Yp3	Yolk protein 3	CG11129|DIM 30|RH08557p|VG3|VIT3Dm|YP|YP-3|YP3|YP[[3]]|YP[[3]]|fs(1)1526|fs(1)A1526|yp|yp3
FBgn0004049	yrt	yurt	CG9764|Nbl4|Yrt|Yurt|dlhB|l(3)87Ek|l(3)E19|l(3)m112|m112|yurt
FBgn0004050	z	zeste	CG7803|EG:BACH59J11.3|Z|Zeste|e(bx)|en-bx
FBgn0004051	Zerknittert	Zerknittert	Z
FBgn0004052	Z600	Z600	3.2|CG17962|DMZ60MEX|Frs|frs|z600
FBgn0004053	zen	zerknullt	BG:DS00276.9|CG1046|ZEN|ZEN VRE|Zen|Zen1|dm-zen|l(3)84Ad|z1|zen1
FBgn0004054	zen2	zerknullt-related	BG:DS00276.10|CG1048|z2|zpr
FBgn0004055	uzip	unzipped	CG3533|nzip|zip
FBgn0004057	Zw	Zwischenferment	CG12529|G-6-PD|G-6-pdh|G-6PD|G-6pd|G6-PD|G6-pd|G6PD|G6PDH|G6pd|G6pdh|g6pd|zw
FBgn0004058	olfF	olfactory F	
FBgn0004061	bip	bipolar oocyte	BiP|Bip
FBgn0004062	blt	ballet	
FBgn0004063	cwi	crumpled wings	
FBgn0004064	Bsg95C	Blastoderm-specific transcript 95C	bsg95C
FBgn0004065	Gsg71A	Gastrula-specific transcript 71A	gsg71A
FBgn0004066	Prosα4	Proteasome α4 subunit	28.1Pros|3422|Alpha-4|CG3422|PROS-28.1|PROS-Dm28.1|PROSA-28.1|PSA4_DROME|Pros-Dm28.1|Pros28|Pros28.1|Prosalpha4|Prosalpha4|Prosα4|a4|alpha-4|α-4|alpha4|α4|alpha4_dm|α4_dm|pros28.1
FBgn0004067	fs(2)mel1	female sterile (2) maternal effect lethal 1	mel 1
FBgn0004068	fs(2)mel2	female sterile (2) maternal effect lethal 2	mel 2
FBgn0004069	fs(2)mel3	female sterile (2) maternal effect lethal 3	mel 3
FBgn0004070	fs(2)mel4	female sterile (2) maternal effect lethal 4	mel 4
FBgn0004071	fs(2)mel5	female sterile (2) maternal effect lethal 5	mel 5
FBgn0004072	fs(2)mel6	female sterile (2) maternal effect lethal 6	Mel 6
FBgn0004073	fs(2)mel7	female sterile (2) maternal effect lethal 7	Mel 7
FBgn0004074	ovt	ovarian tumor at 37D-38A	
FBgn0004075	ms(2)35Eb	male sterile (2) 35Eb	
FBgn0004076	segB	short egg B	
FBgn0004078	Ars-region13	Autonomous replicating sequence region 13	Ars13
FBgn0004079	Ars-region14	Autonomous replicating sequence region 14	Ars14
FBgn0004080	Ars-region15	Autonomous replicating sequence region 15	Ars15
FBgn0004081	XDm	XDm element	
FBgn0004083	Y-seqs	Y-chromosome sequences	Y95-2|anon-Y95-2
FBgn0004084	αγ-element	αγ element	0516/01|516/1|Hsr alpha beta|Hsr α β|Hsralphagamma|Hsrαγ|alpha-beta|α-β|alphabeta-element|αβ-element
FBgn0004085	Ec3	Ecysone-induced RNA 3	
FBgn0004087	Dhfr	Dihydrofolate reductase	CG14887|DHFR|dhfr
FBgn0004090	l(2)60Ca	lethal (2) 60Ca	
FBgn0004091	l(2)60Cc	lethal (2) 60Cc	
FBgn0004092	l(2)60Cd	lethal (2) 60Cd	
FBgn0004093	l(2)60Da	lethal (2) 60Da	
FBgn0004094	l(2)60Db	lethal (2) 60Db	
FBgn0004095	l(2)60Dc	lethal (2) 60Dc	l(2)B485
FBgn0004096	l(2)60Dd	lethal (2) 60Dd	
FBgn0004097	l(2)60De	lethal (2) 60De	
FBgn0004098	l(2)60Df	lethal (2) 60Df	
FBgn0004099	l(2)60Dg	lethal (2) 60Dg	
FBgn0004100	l(2)60Cb	lethal (2) 60Cb	
FBgn0004101	bs	blistered	BS|Bs|CG3411|D-SRF|DSRF|DSrf|DSrf/bs|DmSRF|Group IIc|Mal|SRF|Serf|Srf|ba|bs/DSRF|bs/Dsrf|dSRF|dsrf|l(2)03267|pruned/DSRF|px|srf
FBgn0004102	oc	ocelliless	CG12154|OC|Oc|Otd|Otx|l(1)7Ff|l(1)8Ac|oc2|ocelliless|ort|orthodenticle|otd|uvi
FBgn0004103	Pp1-87B	Protein phosphatase 1 at 87B	87B|CG5650|DmPp1-87B|PP-1alpha|PP-1α|PP1|PP1 87B|PP1 beta87b|PP1 β87b|PP1-87B|PP187B|PP1A87B|PP1B|PP1a|PP1alpha-87B|PP1α-87B|PP1alpha87B|PP1α87B|PP1alpha[[2]]|PP1α[[2]]|PP1c|PP1c 87B|PPI 87B|Pp-1alpha|Pp-1α|Pp1|Pp1-87Bb|Pp1alpha-87B|Pp1α-87B|Ppl-87B|Su(Var)3-6|Su(var)(3)6|Su(var)3-6|Su-var(3)6|Suvar(3)6|ck19|dPP1beta|dPP1β|l(3)87Bg|l(3)ck19|l(3)j6E7|pp1-87|pp1-87B|pp187B|su-var(3)6
FBgn0004105	flrd393	flight reduced 393	flrd-393
FBgn0004106	Cdk1	Cyclin-dependent kinase 1	5363|CDC2|CDCDm|CDK1|CDK1/CDC2|CG5363|Cdc2|Cdk-1|Cdk1|Dcdc2|Dm cdc2|DmCdc2|DmCdk1|Dmcdc2|cdc|cdc2|cdc2Dm|cdk1|dCdk1|group 4|l(2)31Eh
FBgn0004107	Cdk2	Cyclin-dependent kinase 2	CDC2C|CDC2c|CDK2|CDK2/CDC2c|CG10498|Cdc2c|Cdk2|Dcdc2c|DmCdc2c|DmCdk2|Dmcdc2c|S(Sev-CycE)3A|cdc2c|cdk2|dCdk2
FBgn0004108	Nrt	Neurotactin	BP106|BcDNA:LD22004|CG9704|DAB|Dab|MabBP106|NRT|NRT BP106|NT|Neur|Nrt BP106|dab|l(3)73Be|neu|nrt
FBgn0004110	tin	tinman	CG7895|DROHOXHK4|DROHOXNK4|DmNK-4|HOX|NK-4|NK-4/msh-2|NK4|NK4/msh-2|NKX2.5|TIN|Tin|Tinman|msh-2|msh2|tin/NK4|tinman
FBgn0004111	opa-e	opa repeat	CAX|CAX repeat|M|M-repeat|opa|strep
FBgn0004114	Su(var)303	Suppressor of variegation 303	
FBgn0004115	Su(var)311	Suppressor of variegation 311	
FBgn0004117	Tm2	Tropomyosin 2	CG4843|DROTROPI1|IP16005p|Ifm(3)3|Ifm(3)5|Ifm-TmI|TM2|Tm|Tm127|TmI|TmII|Tn-H|dro Tm|l(3)nc99Eb|mTmI
FBgn0004118	nAChRβ2	nicotinic Acetylcholine Receptor β2	Acr96Ac|AcrF|CG6798|Dbeta2|Dβ2|EMS2|SBD|beta2|β2|beta[[2]]|β[[2]]|nACR beta 96A|nACRbeta|nAChR|nAChR-beta96A|nAChR-β96A|nAChRbeta2|nAcRbeta|nAcRβ|nAcRbeta-96A|nAcRbeta-96A|nAcRβ-96A|nAcRs|nAcr96Ac|sbd
FBgn0004122	l(2)43Ba	lethal (2) 43Ba	43Ba
FBgn0004123	l(2)43Bb	lethal (2) 43Bb	43Bb|l(2)04614
FBgn0004125	l(2)43Bd	lethal (2) 43Bd	43Bd
FBgn0004126	hum	humilis	
FBgn0004128	l(2)43Cb	lethal (2) 43Cb	43Cb
FBgn0004129	l(2)43Cc	lethal (2) 43Cc	
FBgn0004130	l(2)43Da	lethal (2) 43Da	43Da
FBgn0004131	l(2)43Db	lethal (2) 43Db	43Db
FBgn0004132	boca	boca	Boca|CG1364|CG30498|dmBoca|l(2)43Ea
FBgn0004133	blow	blown fuse	BLOW|Blow|CG1363|l(2)43Eb
FBgn0004137	l(2)43Ef	lethal (2) 43Ef	
FBgn0004138	l(2)43Eg	lethal (2) 43Eg	
FBgn0004139	l(2)43Eh	lethal (2) 43Eh	
FBgn0004140	fs(2)43Ei	female sterile (2) 43Ei	
FBgn0004142	GATA-sequence	GATA element	GATA|GATA12|GATA4|GATA5|GATA6|GATA9
FBgn0004143	nullo	nullo	BcDNA:RE47733|CG14426|Nullo
FBgn0004147	l(2)57Aa	lethal (2) 57Aa	
FBgn0004148	l(2)57Ab	lethal (2) 57Ab	
FBgn0004149	l(2)57Ac	lethal (2) 57Ac	
FBgn0004150	l(2)57Ad	lethal (2) 57Ad	
FBgn0004151	l(2)57Ae	lethal (2) 57Ae	
FBgn0004152	l(2)57Af	lethal (2) 57Af	
FBgn0004153	l(2)57Ag	lethal (2) 57Ag	
FBgn0004154	l(2)51Da	lethal (2) 51Da	
FBgn0004155	l(2)51Db	lethal (2) 51Db	
FBgn0004156	l(2)51Dc	lethal (2) 51Dc	
FBgn0004157	l(2)Ta	lethal (2) with Thickened arista	
FBgn0004159	l(2)51Eb	lethal (2) 51Eb	
FBgn0004164	fs(2)sun	female sterile (2) supernova	sun
FBgn0004165	l(2)51F	lethal (2) 51F	
FBgn0004166	l(2)52AD	lethal (2) 52AD	
FBgn0004167	kst	karst	CG12008|Karst|Kst|Spec-beta[[H]]|Spec-β[[H]]|beta-Spectrin|β-Spectrin|betaH|βH|betaH-Spec|βH-Spec|betaH-spectrin|βH-spectrin|betaHS|βHS|betaHSpec|βHSpec|beta[[H]]|β[[H]]|beta[[H]]-SPEC|β[[H]]-SPEC|beta[[H]]-Sp|β[[H]]-Sp|beta[[H]]-Spec|β[[H]]-Spec|beta[[H]]-Spectrin|β[[H]]-Spectrin|beta[[H]]spectrin|β[[H]]spectrin|beta[[Heavy]]spectrin|β[[Heavy]]spectrin|beta[[heavy]]-Spec|β[[heavy]]-Spec|beta[[heavy]]-Spectrin|β[[heavy]]-Spectrin|beta[[heavy]]spectrin|β[[heavy]]spectrin|betah-Spec|βh-Spec|l(3)01318
FBgn0004168	5-HT1A	5-hydroxytryptamine (serotonin) receptor 1A	5-HT|5-HT-1a|5-HT-dro2A|5-HT1ADro|5-HT1a|5-HT[1A]Dro|5-HT[1A]Dro|5-HT[[1ADro]]|5-HT[[1ADro]]|5-HT[[1A]]|5-HT[[1A]]|5-HT[[1A]]DRO|5-HT[[1A]]DRO|5HT|5HT-1A|5HT-R2A|5HT-dro2A|5HT-drp[[2A]]|5HT-drp[[2A]]|5HT1A|5HT1a|5HT[[1ADro]]|5HT[[1ADro]]|5htdro2a|CG16720|DRO2A|Dm5-HT1A|Dm5-HT[[1A]]|Dm5-HT[[1A]]|Dm5HTdro2A|HT1A|d5-HT1A
FBgn0004169	up	upheld	BcDNA:LD08591|CG7107|DmTpnT|TNT|Tn-T|TnT|TpnT|cTNT|dro TnT|int|tnT|upheld|upheld2|wupB
FBgn0004170	sc	scute	AS-C T4|AS-C T4sc|CG3827|DROACS2|EG:198A6.1|Hw|SC_DA|Sc|T4|T4 AS-C|ascT4|bHLHc28|l(1)1Ba|sc/T4|scalpha|scα|scute/sisterlessB|sis b|sis-b|sisB|sisb
FBgn0004171	Mst98Cb	Male-specific RNA 98Cb	CG18396|MST98Cb|Mst|Mst98C|anon-WO0140519.46|mst(3)gl-13
FBgn0004172	Mst84Da	Male-specific RNA 84Da	CG17946|Mst|Mst ORF|Mst84|Mst87D|Mstprox|mst(3)gl-1
FBgn0004173	Mst84Db	Male-specific RNA 84Db	BcDNA:AT08471|CG17934|Mst|Mst ORF|Mst84|Mst87D|Mstprox|NEST:bs22c06|bs22c06.y1|mst(3)gl-2
FBgn0004174	Mst84Dc	Male-specific RNA 84Dc	CG17945|Mst|Mst ORF|Mst84|Mst84D|Mst87D|Mstprox|mst(3)gl-3
FBgn0004175	Mst84Dd	Male-specific RNA 84Dd	CG17935|Mst|Mst ORF|Mst84|Mst87D|Mstprox|mst(3)gl-4
FBgn0004177	mts	microtubule star	5559|CG7109|DmPp2A-28D|ER2-6|MTS|MTS/PP2A|Mts|PP2|PP2A|PP2A 28D|PP2A C|PP2A-C|PP2A/MTS|PP2AC|PP2A[C]|PP2A[C]|PP2A[[C]]|PP2A[[C]]|PP2Ac|PP2a|PP2a 28D|Pp2A|Pp2A-28D|dPP2A|dPP2A-C|l(2)02496|l(2)s5286|pp2A
FBgn0004179	Csp	Cysteine string protein	CG6395|CSP|CSP32|Cys|D-CSP|D.M.CSP|DCSP-1|DNAJC5|DSP/DNAJC5|Dcsp|MAB ab49|ab49|anon-WO02059370.50|csp|csp29|csp32|dCSP-2|dCSPalpha|dCSPα|l(3)03988
FBgn0004181	Ebp	Ejaculatory bulb protein	BcDNA:GH06048|CG2668|EBP|P38|PEB|PEB-me|PEBme|Peb|anon-WO0140519.140|peb
FBgn0004182	snRNA:U1:82Ea	small nuclear RNA U1 at 82Ea	D.U1-2|K5|U1|U1 82E(pDm6A)|U1 snRNA|U1-82.1|U1b|U1snRNA|U1snRNA82Ea|snRNA-U1-82.1|snRNA:U1
FBgn0004183	snRNA:U1:82Eb	small nuclear RNA U1 at 82Eb	CR32862|K5|U1|U1 snRNA|U1-82.3|U1-82Eb|U1:82Eb|U1a-82Eb|U1snRNA|U1snRNA82Eb|chr3R:773643..773870|dU1|snRNA-U1-82.3|snRNA:U1|snRNA:U1:82 Eb
FBgn0004184	snRNA:U1:82Ec	small nuclear RNA U1 at 82Ec	82.2|U1|U1 82E(pDm6Y)|U1 snRNA|U1-82.2|U1a-82Ec|U1snRNA82Ec|snRNA-U1-82.2|snRNA:U1
FBgn0004185	snRNA:U1:95Ca	small nuclear RNA U1 at 95C a	95C U1|CR31341|DMU1951|K5|U1|U1 snRNA|U1-95.1|U1-95Ca|U1951|U1:95C|U1:95Ca|U1a|U1a-95Ca|U1snRNA|U1snRNA 95.1|U1snRNA95Ca|dU1|snRNA-U1-95.1|snRNA:U1|u1a
FBgn0004186	snRNA:U1:95Cb	small nuclear RNA U1 at 95C b	95C U1|CR32866|K5|U1|U1 snRNA|U1-95.2|U1-95Cb|U1:95C|U1:95Cb|U1a-95Cb|U1snRNA|U1snRNA95Cb|dU1|snRNA-U1-95.2|snRNA:U1|snRNA:U1:95CB
FBgn0004187	snRNA:U1:95Cc	small nuclear RNA U1 at 95C c	95C U1|CR31185|K5|U1|U1 snRNA|U1-95.3|U1:95C|U1:95Cc|U1c-95Cc|U1snRNA|U1snRNA95Cc|dU1|snRNA-U1-95.3|snRNA:U1
FBgn0004188	snRNA:U6:96Aa	small nuclear RNA U6 at 96A a	CR31379|DU6-1|K1|U6|U6 RNA|U6 snRNA|U6-1|U6-96Aa|U6-snRNA|U6:96Aa|U6snRNA|U6snRNA96Aa|dU6|snRNA-b|snRNA4|snRNA6|snRNA:U6|snRNA[[4]]|snRNA[[4]]
FBgn0004189	snRNA:U6:96Ab	small nuclear RNA U6 at 96A b	CR32867|DU6-2|K1|U6|U6 RNA|U6 snRNA|U6-2|U6-96Ab|U6-snRNA|U6:96Ab|U6snRNA|U6snRNA96Ab|dU6|snRNA-b|snRNA4|snRNA6|snRNA:U6|snRNA[[4]]|snRNA[[4]]
FBgn0004190	snRNA:U6:96Ac	small nuclear RNA U6 at 96A c	CR31539|DU6-3|K1|U6|U6 RNA|U6 snRNA|U6-3|U6-96Ac|U6-snRNA|U6:96Ac|U6snRNA|U6snRNA96Ac|dU6|snRNA-b|snRNA4|snRNA6|snRNA:U6|snRNA[[4]]|snRNA[[4]]
FBgn0004191	snRNA:U2:34ABa	small nuclear RNA U2 at 34AB a	131A|34B U2|CR31850|D.U2-1|Dm U2-131A|K6|U2|U2 131A|U2 snRNA|U2-131A|U2-34ABa|U2:34ABa|U2snRNA|U2snRNA34ABa|chr2L:13211901..13212079|dU2|snRNA-U2-131A|snRNA:U2
FBgn0004192	snRNA:U2:34ABb	small nuclear RNA U2 at 34AB b	131B|34B U2|CR31854|D.U2-2|Dm U2-131B|K6|U2|U2 131B|U2 snRNA|U2-131B|U2-34ABb|U2-69E5|U2:34ABb|U2snRNA|U2snRNA34ABb|dU2|snRNA-U2-131B|snRNA:U2
FBgn0004197	Ser	Serrate	Bd|CG6127|CT18858|Rpw|SER|Serrate|mel(3)8|ser|std
FBgn0004198	ct	cut	BcDNA:GH10590|CG11387|CT|CUT|Ct|Cut|cut|kf|l(1)7Ba|l(1)7Bb|l(1)VE614
FBgn0004199	l(3)84Da	lethal (3) 84Da	
FBgn0004200	l(3)84Db	lethal (3) 84Db	
FBgn0004201	l(3)84Dc	lethal (3) 84Dc	
FBgn0004202	l(3)84Dd	lethal (3) 84Dd	
FBgn0004203	l(3)84Ea	lethal (3) 84Ea	
FBgn0004204	l(3)84Eb	lethal (3) 84Eb	
FBgn0004205	l(3)84Ec	lethal (3) 84Ec	
FBgn0004206	l(3)84Ed	lethal (3) 84Ed	
FBgn0004207	l(3)84Ee	lethal (3) 84Ee	
FBgn0004208	l(3)84Ef	lethal (3) 84Ef	
FBgn0004209	l(3)84Eg	lethal (3) 84Eg	
FBgn0004211	l(3)84Ei	lethal (3) 84Ei	
FBgn0004214	l(3)84Fb	lethal (3) 84Fb	
FBgn0004215	l(3)84Fc	lethal (3) 84Fc	
FBgn0004216	l(3)84Fd	lethal (3) 84Fd	
FBgn0004217	l(3)84Fe	lethal (3) 84Fe	
FBgn0004220	l(3)84Fh	lethal (3) 84Fh	
FBgn0004222	l(3)84Fj	lethal (3) 84Fj	
FBgn0004223	l(3)84Fk	lethal (3) 84Fk	
FBgn0004224	l(3)84Fl	lethal (3) 84Fl	
FBgn0004225	l(3)84Fm	lethal (3) 84Fm	
FBgn0004227	nonA	no on or off transient A	Bj6|Bj6-1|CG4211|NONA|NonA|dNONO|diss|non-A|nonA/diss|nona|opm2|p54[nrb]|p54[nrb]|x14
FBgn0004228	mex1	midgut expression 1	CG7936
FBgn0004229	l(3)93Bc	lethal (3) 93Bc	l(3)rlr1|rlr1
FBgn0004230	l(3)93Bd	lethal (3) 93Bd	l(3)rlr2|rlr2
FBgn0004231	l(3)93Be	lethal (3) 93Be	rlr3
FBgn0004232	l(3)93Bf	lethal (3) 93Bf	rlr4
FBgn0004233	l(3)93Bg	lethal (3) 93Bg	rlr5
FBgn0004234	l(3)93Bh	lethal (3) 93Bh	rlr6
FBgn0004237	Hrb87F	Heterogeneous nuclear ribonucleoprotein at 87F	CG12749|HRB87F|HRB87F/hrp36|HRP36|Hrb2|Hrb85CD|Hrb87Fa|Hrb87f|Hrp36|P11|P11/Hrb87F|Q14|Q16|hnRNP A2/B1|hnRNP36|hnRNPA1|hnRNPA1/A2|hnRNPA2|hnRNPA2/B1|hrb87f|hrp36|p38
FBgn0004240	DptA	Diptericin A	143443_at|CG12763|DIM 27|DIPT|DPT|Dep|Dip|DipA|Dipt|DiptA|Diptericin|Dit|Dpt|DptA|DtpA|dip|dipt|diptA|diptericin|dpt|dpt A|dptA
FBgn0004242	Syt1	Synaptotagmin 1	2L17|CG3139|D. Syt I|DSYT|DSYT1|DSYT2|DSypt|DSypt1|DSyt|DSyt1|Droso1|Dsyt2|STY1|SYT|SYT I|SYT1|Syt|Syt 1|Syt I|Syt-1|Syt1|SytI|dSYT|dSyt1|dsyt1|dsytI|l(2)23AB1|l(2)23Ba|l(2)k05909|syn|syt|syt 1|syt I|syt-1|syt1|sytI
FBgn0004244	Rdl	Resistant to dieldrin	CG10537|CT29555|DmRDL|DmRdl|GABA|GABA-R|GABAR|GABA[[A]]|GABA[[A]]|GABA[[A]] receptor|GABA[[A]] receptor|GABA[[A]]-R|GABA[[A]]-R|GABA[[A]]R|GABA[[A]]R|GABAr|LCCH1|RDL|Rd1|gaba|rdl
FBgn0004359	T48	Transcript 48	48|CG5507|Ubx-t48|anon-97D|t48
FBgn0004360	Wnt2	Wnt oncogene analog 2	CG1916|D-wnt-2|DWnt-2|DWnt2|Dm DWnt2|Dm-2|Dwnt-2|Dwnt2|Wnt|Wnt-2|dWnt2|wnt-2|wnt2
FBgn0004362	HmgD	High mobility group protein D	CG17950|Dm-HMG-D100|HMG D|HMG-D|HMG-D100|HMG1|HMGD|Hmg-D|anon-EST:Liang-1.9|clone 1.9|dHMG-D|hmg-D|hmgd
FBgn0004363	porin	porin	CG6647|DVDAC|DmPorin1|DmVDAC|POR-1|PORIN|Porin|VDAC|VDAC1|Vdac|Vdac1|anon-WO02059370.56|cg6647|l(2)k05123
FBgn0004367	mei-41	meiotic 41	4252|ATR|CG4252|DmATR|Dmmei41|MEI41|MEI41/FRP1|Mei-41|Mei-41/DATR|Mei41|atr|dATR|fs(1)M37|mei-195|mei41|meiP41|mus(1)103|mus(1)104|mus-103|mus-104|mus103|mus104
FBgn0004368	Ptp4E	Protein tyrosine phosphatase 4E	4E|CG6899|CT21187|DPTP4E|PTP4E|PtP4E|R-PTP 4E|ptp4E
FBgn0004369	Ptp99A	Protein tyrosine phosphatase 99A	CG11515|CG11516|CG11517|CG2005|CT6383|DPTP99A|DPTP[[99A]]|DPTP[[99A]]|Dptp99A|PTP99A|R-PTP 99A|dptp99A|ptp99A
FBgn0004370	Ptp10D	Protein tyrosine phosphatase 10D	10D|CG1817|CT4920|DPTP|DPTP10D|DPTP[[10D]]|DPTP[[10D]]|Dptp10D|PTP10D|Ptp10|Ptp10d|R-PTP 10D|RPTP10d|dptp|ptp10D|ptp10d
FBgn0004372	aly	always early	143450_at|Aly|CG2075|ms(3)2|ms(3)ry2|tMAC
FBgn0004373	fwd	four wheel drive	CG7004|Fwd|PI4K|PI4K3B|PI4KIIIbeta|PI4KIIIβ|anon-WO0118547.259
FBgn0004374	neb	nebbish	38B.10|38B.12|CG10718|Dm0332|DmKlp38B|DmNeb|KIF 14|KIF14|KLP 38B|KLP-38B|KLP38B|Klp38|Klp38B|Mot|Neb|klp38B|l(2)03552|l(2)k00802|l(2)k07614|nebb|sl(2)ry|sl(2)ry3|tio
FBgn0004378	Klp61F	Kinesin-like protein at 61F	6345|CG9191|CG9191-PA|DmKLP61F|DmKRP130|DmKlp61F|KIF 8|KIF11|KLP2|KLP61|KLP61F|KLP61f|KRP130|KRP[[(130)]]|KRP[[(130)]]|KRP[[130]]|KRP[[130]]|Kin-5|Kin5|Klp 61F|Klp2|Klp61F/KRP130|Klp61f|Krp130|klp61F|klp61f|l(3)07012|l(3)6D283|l(3)Klp61F|urc|urcn
FBgn0004379	Klp67A	Kinesin-like protein at 67A	0427/05|CG10923|DmKlp67A|KIF 18A|KIF18A/B|KLP3|KLP67A|KRP67A|Kin-8|Klp3|Klp67|anon-WO0140519.224|anon-WO0172774.120|klp67|klp67A|klp67a|l(3)S042705
FBgn0004380	Klp64D	Kinesin-like protein at 64D	CG10642|DmKlp64D|KIF 3A|KIF3A|KLP4|KLP64D|KLP64Ddm|Kif3A|Klp 64D|Klp4|kif3A|klp64D
FBgn0004381	Klp68D	Kinesin-like protein at 68D	CG7293|DmKlp68D|KIF 3B|KIF3B|KLP-5|KLP5|KLP68D|KLP68Ddm|KLP[[64D/68D]]|KLP[[64D/68D]]|Klp5|klp68d
FBgn0004387	Klp98A	Kinesin-like protein at 98A	CG5658|DmKlp98A|DmSNX23|KIF 16A|KIF16A/B|KLP6|KLP98A|Klp6|Klp98a|klp98A
FBgn0004389	bnk	bottleneck	Bnk|CG1480
FBgn0004390	RasGAP1	Ras GTPase activating protein 1	CG6721|FBpp0076097|GAP|GAP1|Gap|Gap 1|Gap1|Ras-GAP|RasGAP|RasGap1|gap|gap1|mip|rI533|rasGAP|sxt
FBgn0004391	shtd	shattered	APC1|APC1/shtd|Apc1|CG9198|SHTD|Shtd
FBgn0004394	pdm2	POU domain protein 2	CG12287|CG15486|CG15487|Miti|Oct-2|Oct2|POU domain protein 2|Pdm|Pdm-2|Pdm2|dOct2|dPOU-28|dPOU28|dPOU28/pdm-2|dim|dpou28|miti|pdm|pdm-2
FBgn0004395	unk	unkempt	CG4620
FBgn0004396	CrebA	Cyclic-AMP response element binding protein A	BBF-2|BBF2_DROME|BOX B Binding Factor-2|Bbbf2|BcDNA:SD05937|CG7450|CRE-BP|CREB|CREB-A|CREB-a|CREBA|Creb|Creb A|Creb-A|DM4|creb|crebA|dCREB|dCREB-A|dCREBA|dCreb-A|dCrebA|l(3)03576
FBgn0004397	Vinc	Vinculin	CG3299|CT11081|Dmvincp|EG:103B4.1|VINC|Vin|Vin2EF|Vinculin|vinc
FBgn0004400	rhi	rhino	CG10683|HP1|HP1D|HP1d|RHI|Rhi|Rhino|hp1d|rhino|rno
FBgn0004401	Pep	Protein on ecdysone puffs	CG6143|PEP|PEP/X4|X4/PEP|p100|pep
FBgn0004403	RpS14a	Ribosomal protein S14a	CG1524|RPS14A|Rp S14a|RpS14|RpS14A|S11|S14|S14a|anon-EST:Posey115|anon-EST:Posey131|anon-EST:Posey154|anon-EST:Posey77|anon-WO03040301.136|anon-WO03040301.138|rpS14A
FBgn0004404	RpS14b	Ribosomal protein S14b	CG1527|RPS14B|RpS14|RpS14B|S11|S14|S14b|anon-EST:Posey115|anon-EST:Posey131|anon-EST:Posey154|anon-EST:Posey77|rpS14B
